TIER,USD PRICE
1,$525
2,$560
3,$595
4,$630
5,$700
6,$735
7,$770
8,$840
9,$910
10,$945
11,"$1,015"
12,"$1,085"
13,"$1,190"
14,"$1,260"
15,"$1,330"
16,"$1,435"
17,"$1,540"
18,"$1,645"
19,"$1,750"
20,"$1,890"
21,"$1,995"
22,"$2,135"
23,"$2,310"
24,"$2,450"
25,"$2,625"
26,"$2,800"
27,"$3,010"
28,"$3,220"
29,"$3,430"
30,"$3,675"
31,"$3,920"
32,"$4,200"
33,"$4,480"
34,"$4,795"
35,"$5,110"
36,"$5,495"
37,"$5,845"
38,"$6,265"
39,"$6,685"
40,"$7,175"
41,"$7,665"
42,"$8,190"
43,"$8,750"
44,"$9,380"
45,"$10,010"
46,"$10,710"
47,"$11,445"
48,"$12,250"
49,"$13,090"
50,"$14,000"
